keyword	mandatory	table_meta	language_dependent	indexed_by_contvariable	quote_value	default_value	documentation
DATASYMBOL4	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A44%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C422%2C0%5D
DATASYMBOL5	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A44%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C422%2C0%5D
DATASYMBOL6	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A44%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C422%2C0%5D
DATASYMBOLSUM	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A44%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C196%2C0%5D
DATASYMBOLNIL	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A44%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C309%2C0%5D
DATANOTECELL	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A44%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C699%2C0%5D
DATANOTESUM	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A44%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C534%2C0%5D
DATANOTE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A43%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C553%2C0%5D
KEYS	FALSE	FALSE	TRUE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A48%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C505%2C0%5D
ATTRIBUTE-ID	FALSE	FALSE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A37%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C475%2C0%5D
ATTRIBUTE-TEXT	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A37%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C223%2C0%5D
ATTRIBUTES	FALSE	FALSE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A37%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C223%2C0%5D
DATA	NA	FALSE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A32%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C502%2C0%5D
